Wall time,Step,Value
1685320170.5139468,75799,37.0
1685320189.423329,76349,37.0
1685320198.0220578,76599,37.0
1685320212.322957,76999,37.0
1685320234.415952,77338,37.0
1685320292.1787694,77499,38.0
1685320304.166557,77849,38.0
1685320316.1821086,78199,38.0
1685320319.6499417,78299,38.0
1685320325.2839537,78449,38.0
1685320344.255109,78999,38.0
1685320454.850849,80299,39.0
1685320473.8629482,80849,39.0
1685320491.1518779,81349,39.0
1685320494.5745335,81449,39.0
1685320499.7296789,81599,39.0
1685320503.301519,81699,39.0
1685320576.0104847,81899,40.0
1685320606.9688585,82799,40.0
1685320608.6863577,82849,40.0
1685320626.2480516,83349,40.0
1685320715.5214727,84099,41.0
1685320730.9240792,84549,41.0
1685320736.0668075,84699,41.0
1685320795.2197855,86074,41.0
1685320866.6913486,86499,42.0
1685320868.4116962,86549,42.0
1685320878.771054,86849,42.0
1685320880.5356042,86899,42.0
1685320885.7208257,87049,42.0
1685320889.183436,87149,42.0
1685320890.9504795,87199,42.0
1685320892.681781,87249,42.0
1685320998.4932866,88599,43.0
1685321024.2765691,89349,43.0
1685321029.4155636,89499,43.0
1685321117.843145,90499,44.0
1685321129.8413672,90849,44.0
1685321188.8548772,92249,44.0
1685321259.4923322,92549,45.0
1685321276.7232165,93049,45.0
1685321294.5026233,93549,45.0
1685321308.321293,93949,45.0
1685321323.795827,94399,45.0
1685321339.1841986,94849,45.0
1685321348.2281682,95099,45.0
1685321421.8420992,95399,46.0
1685321425.2623277,95499,46.0
1685321442.4888592,95999,46.0
1685321445.9561722,96099,46.0
1685321557.5426016,97599,47.0
1685321560.9590836,97699,47.0
1685321588.939998,98499,47.0
1685321590.670793,98549,47.0
1685321738.6437545,100999,48.0
1685321824.79051,101699,49.0
1685321829.9762843,101849,49.0
1685321836.8930721,102049,49.0
1685321859.3410258,102699,49.0
1685321862.7664208,102799,49.0
1685321874.729557,103149,49.0
1685321975.3903286,104299,50.0
1685321999.5127242,104999,50.0
1685322091.5043974,105849,51.0
1685322100.090903,106099,51.0
1685322105.3217502,106249,51.0
1685322112.2184412,106449,51.0
1685322117.3640833,106599,51.0
1685322126.5217397,106849,51.0
1685322128.2330453,106899,51.0
1685322140.165689,107249,51.0
1685322220.3111055,107699,52.0
1685322239.2878673,108249,52.0
1685322350.9730406,109649,53.0
1685322359.516429,109899,53.0
1685322361.2327569,109949,53.0
1685322383.88875,110599,53.0
1685322395.8923376,110949,53.0
1685322404.4543827,111199,53.0
1685322470.253977,111399,54.0
